g1,"rgb(166, 171, 211)"
tumaoficial,"rgb(93, 180, 162)"
ipeaonline,"rgb(180, 163, 197)"
reportersalles,"rgb(59, 181, 130)"
em_com,"rgb(164, 173, 213)"
ludmilagrilo,"rgb(62, 181, 133)"
tijolaco,"rgb(225, 135, 154)"
assimdisseojoao,"rgb(229, 133, 151)"
rosedbarros,"rgb(70, 181, 141)"
NAOKAHLO,"rgb(238, 127, 142)"
randolfeap,"rgb(193, 154, 184)"
senadorhumberto,"rgb(214, 142, 165)"
alexandre,"rgb(162, 174, 214)"
tuliogadelha,"rgb(217, 140, 162)"
erikakokay,"rgb(227, 134, 152)"
tvcamara,"rgb(166, 171, 211)"
marciatiburi,"rgb(230, 132, 149)"
Damadeferroofic,"rgb(59, 181, 130)"
carlavilhenaa,"rgb(164, 172, 212)"
franca_rodrigo,"rgb(219, 139, 160)"
LiloVLOG,"rgb(53, 182, 125)"
DHumanosBrasil,"rgb(164, 173, 213)"
opovoonline,"rgb(174, 166, 203)"
MottaTarcisio,"rgb(230, 132, 149)"
GugaNoblat,"rgb(203, 148, 175)"
padre_paulo,"rgb(81, 181, 151)"
revistacult,"rgb(211, 144, 167)"
AntiCast,"rgb(225, 135, 154)"
andrefernm,"rgb(61, 181, 132)"
avozdobrasil,"rgb(168, 170, 209)"
TST_Oficial,"rgb(163, 173, 213)"
Ro_Moller,"rgb(68, 181, 138)"
_makavelijones,"rgb(240, 126, 140)"
oswaldojor,"rgb(62, 181, 133)"
xicograziano,"rgb(90, 180, 159)"
SorayaThronicke,"rgb(71, 181, 142)"
GeneralGirao,"rgb(72, 181, 142)"
Leoni_a_jato,"rgb(212, 143, 166)"
GuajajaraSonia,"rgb(235, 129, 145)"
Gen_Ex_Freitas,"rgb(80, 181, 150)"
albaexpider,"rgb(56, 182, 127)"
otempo,"rgb(164, 173, 213)"
malugaspar,"rgb(212, 143, 167)"
MauricioCostaRS,"rgb(57, 182, 128)"
SimoneTebetms,"rgb(100, 180, 169)"
marilizpj,"rgb(189, 157, 189)"
mitags,"rgb(67, 181, 138)"
fabifbbr,"rgb(62, 181, 133)"
FBN,"rgb(189, 157, 188)"
meirelles,"rgb(139, 179, 205)"
andrefran,"rgb(205, 147, 173)"
PSDBoficial,"rgb(155, 178, 221)"
flaviogomes69,"rgb(202, 149, 176)"
MinLuizRamos,"rgb(75, 181, 146)"
radardamidia,"rgb(59, 181, 130)"
pauloap,"rgb(62, 181, 133)"
EdGaarcia,"rgb(71, 181, 141)"
fernandapsol,"rgb(230, 132, 149)"
tarsogenro,"rgb(214, 142, 164)"
RitaLisauskas,"rgb(220, 138, 159)"
gabhebling,"rgb(219, 139, 160)"
lmegale,"rgb(151, 178, 217)"
pedrodoria,"rgb(184, 160, 194)"
hoje_no,"rgb(65, 181, 136)"
kimpaim,"rgb(55, 182, 127)"
GDimenstein,"rgb(201, 150, 177)"
aureacarolinax,"rgb(234, 129, 145)"
vanessa_grazz,"rgb(213, 143, 166)"
PCdoB_Oficial,"rgb(218, 140, 161)"
Real_TMavPlus,"rgb(56, 182, 127)"
jorgeofco,"rgb(69, 181, 140)"
VlogdoLisboa,"rgb(61, 181, 132)"
RGottino,"rgb(142, 178, 208)"
Jouberth19,"rgb(60, 181, 131)"
Lets_Dex,"rgb(55, 182, 126)"
startupdareal,"rgb(221, 138, 158)"
JoelPinheiro85,"rgb(166, 171, 211)"
padilhando,"rgb(214, 142, 165)"
MarceloCRedeTV,"rgb(69, 181, 139)"
casacivilbr,"rgb(116, 179, 184)"
LRobertoBarroso,"rgb(156, 177, 220)"
MiguelNicolelis,"rgb(222, 137, 157)"
KatiaAbreu,"rgb(189, 157, 188)"
huffpostbrasil,"rgb(211, 144, 168)"
MinCidadania,"rgb(132, 179, 200)"
CrissPaiva,"rgb(79, 181, 149)"
AlbuquerqueDavy,"rgb(61, 181, 132)"
zerotoledo,"rgb(205, 147, 173)"
delarabru,"rgb(228, 133, 151)"
professorigor,"rgb(57, 182, 128)"
BelinhaPoodleBR,"rgb(52, 182, 123)"
carloscezarcjr,"rgb(59, 181, 130)"
claraaverbuck,"rgb(229, 133, 151)"
betepacheco_,"rgb(156, 178, 220)"
juliaduailibi,"rgb(178, 164, 199)"
zeluizlhesdiz,"rgb(201, 150, 177)"
palmeriodoria,"rgb(230, 132, 150)"
Daniel_L_Lopez,"rgb(56, 182, 127)"
sergueirock,"rgb(207, 146, 171)"
midiasemmascara,"rgb(78, 181, 148)"
tradutores_br,"rgb(55, 182, 126)"
carapanarana,"rgb(233, 130, 146)"
TCUoficial,"rgb(161, 174, 215)"
rvianna,"rgb(227, 134, 152)"
pontejornalismo,"rgb(225, 135, 154)"
criticanac,"rgb(59, 181, 130)"
paulopaim,"rgb(213, 142, 166)"
Poder360,"rgb(167, 170, 209)"
tatikmd,"rgb(226, 134, 153)"
WinstonLing,"rgb(65, 181, 136)"
flaviofachel,"rgb(168, 170, 208)"
DireitaBrasil,"rgb(65, 181, 136)"
rodrigodasilva,"rgb(98, 180, 167)"
CrisMenshova,"rgb(57, 181, 128)"
czmartins,"rgb(223, 136, 156)"
MaraLuquet,"rgb(157, 177, 219)"
majorfabianadep,"rgb(64, 181, 134)"
br000na,"rgb(239, 126, 141)"
henriolliveira,"rgb(64, 181, 135)"
JoseMedeirosMT,"rgb(78, 181, 148)"
hilde_angel,"rgb(229, 133, 150)"
joelluiz_adv,"rgb(230, 132, 149)"
NPTO,"rgb(220, 138, 159)"
rogeriosmarinho,"rgb(83, 181, 153)"
mtst,"rgb(237, 128, 143)"
PatoCorporation,"rgb(236, 128, 144)"
JOAQUIMTEIXElRA,"rgb(88, 180, 158)"
fefito,"rgb(195, 154, 183)"
NaoInviabilize,"rgb(228, 133, 151)"
rehventura,"rgb(231, 131, 148)"
Rkrahenbuhl,"rgb(178, 164, 199)"
danielPMERJ,"rgb(61, 181, 132)"
ananiasfernanda,"rgb(53, 182, 125)"
dasilvabenedita,"rgb(229, 133, 151)"
PTnaCamara,"rgb(224, 135, 155)"
Rodrigo_Janot,"rgb(175, 166, 202)"
JesseSouzaecht,"rgb(234, 129, 145)"
CUT_Brasil,"rgb(230, 132, 149)"
Fasalles,"rgb(58, 181, 130)"
DraClaudiaBr,"rgb(57, 181, 129)"
rfalcao13,"rgb(214, 142, 165)"
CNPq_Oficial,"rgb(189, 157, 189)"
artur_slo,"rgb(71, 181, 141)"
renato_rovai,"rgb(232, 131, 147)"
exuliane,"rgb(220, 138, 159)"
N_Carvalheira,"rgb(78, 181, 148)"
pfnery,"rgb(128, 179, 195)"
BlogdoMiro,"rgb(230, 132, 150)"
stanleyburburin,"rgb(235, 129, 145)"
aeciodepapelao,"rgb(225, 135, 154)"
PTnoSenado,"rgb(224, 136, 155)"
salimmattarBR,"rgb(73, 181, 144)"
Minas_Energia,"rgb(147, 178, 214)"
eduguim,"rgb(231, 131, 148)"
FFrancischini_,"rgb(74, 181, 144)"
ViniciusPoit,"rgb(91, 180, 160)"
dariojjunior,"rgb(66, 181, 137)"
FariaLimaElevat,"rgb(127, 179, 195)"
MoniqueCheker,"rgb(119, 179, 187)"
operamundi,"rgb(226, 134, 153)"
GalTheophilo,"rgb(84, 181, 154)"
anacronices,"rgb(237, 128, 143)"
dimacgarcia,"rgb(58, 181, 129)"
AlexSchwartsman,"rgb(136, 179, 203)"
alesilva_38,"rgb(61, 181, 132)"
